,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,-53.15,-70.92,41.0,75,100,24.16
1,Kapaa,22.08,-159.32,84.47,58,40,14.99
2,Port Elizabeth,-33.92,25.57,59.0,100,90,13.87
3,Avarua,-21.21,-159.78,78.8,78,92,17.22
4,Saint-Philippe,-21.36,55.77,63.59,77,75,3.36
5,New Norfolk,-42.78,147.06,57.56,61,100,1.99
6,Rikitea,-23.12,-134.97,73.47,84,99,14.67
7,Katsuura,35.13,140.3,83.64,88,75,3.36
8,Lakes Entrance,-37.88,147.98,66.0,57,52,1.99
9,Albany,42.6,-73.97,71.78,78,14,8.01
10,Qaanaaq,77.48,-69.36,25.09,89,100,9.42
11,Yaan,7.38,8.57,70.12,91,100,4.76
12,Egvekinot,66.32,-179.17,44.98,73,95,5.32
13,Laguna,38.42,-121.42,80.51,44,1,5.82
14,Yantzaza,-3.83,-78.76,69.91,69,99,1.01
15,Cabo San Lucas,22.89,-109.91,85.3,70,5,11.41
16,Torbay,47.67,-52.73,59.45,87,90,11.41
17,Farmington,36.73,-108.22,61.65,38,1,8.05
18,George Town,5.41,100.34,77.41,94,40,4.7
19,East London,-33.02,27.91,64.67,78,81,13.58
20,Busselton,-33.65,115.33,49.35,87,48,4.14
21,Dikson,73.51,80.55,44.51,99,100,20.47
22,Changji,44.02,87.32,53.6,62,75,4.47
23,Karratha,-20.74,116.85,88.93,26,0,14.34
24,Wuwei,37.93,102.64,67.6,47,65,1.77
25,Bredasdorp,-34.53,20.04,59.0,87,100,16.11
26,Cape Town,-33.93,18.42,57.92,87,100,4.7
27,Atuona,-9.8,-139.03,78.64,79,25,18.52
28,Fortuna,40.6,-124.16,63.55,77,1,4.7
29,Cidreira,-30.18,-50.21,57.47,89,0,5.82
30,Port Alfred,-33.59,26.89,63.28,86,96,19.37
31,Ushuaia,-54.8,-68.3,37.98,86,100,6.15
32,Kodinsk,58.69,99.18,48.31,90,100,4.92
33,Saint Anthony,45.02,-93.22,54.19,62,1,3.04
34,Châlette-sur-Loing,48.01,2.74,58.98,84,1,1.97
35,Ribeira Grande,38.52,-28.7,71.85,83,0,4.16
36,Puerto Ayora,-0.74,-90.35,66.99,90,51,5.99
37,Vaini,-21.2,-175.2,78.8,78,40,11.41
38,Pargas,60.31,22.3,47.61,87,47,5.82
39,Lorengau,-2.02,147.27,84.94,75,81,9.57
40,Mataura,-46.19,168.86,52.0,57,14,1.99
41,Jamestown,42.1,-79.24,64.78,93,90,4.7
42,Polyarny,69.2,33.45,33.8,100,90,2.24
43,Esperance,-33.87,121.9,53.6,93,0,9.17
44,Popondetta,-8.75,148.25,78.71,75,89,1.68
45,Yabēlo,4.88,38.08,58.64,85,79,8.79
46,Hobart,-42.88,147.33,60.53,55,75,12.75
47,Atikokan,48.76,-91.62,50.67,65,0,5.59
48,Port Lincoln,-34.73,135.87,70.23,53,55,10.25
49,Portland,45.52,-122.68,74.75,31,90,8.05
50,Timaru,-44.4,171.25,51.01,53,0,5.99
51,Ovalle,-30.6,-71.2,59.92,55,0,3.06
52,Korla,41.76,86.15,67.64,25,10,10.38
53,Mareeba,-17.0,145.43,77.32,42,0,13.87
54,Santiago,-33.46,-70.65,59.0,67,2,13.87
55,Alnashi,56.19,52.48,54.93,69,98,18.48
56,Hilo,19.73,-155.09,77.68,65,90,8.05
57,Castro,-24.79,-50.01,66.85,59,7,2.53
58,Ancud,-41.87,-73.82,39.52,96,67,10.0
59,Lapa,-25.77,-49.72,62.17,93,90,10.29
60,Kaka,37.35,59.61,64.56,28,0,4.34
61,Bubaque,11.28,-15.83,79.09,86,100,7.11
62,Sisimiut,66.94,-53.67,36.91,81,1,7.56
63,Hobyo,5.35,48.53,77.02,81,100,22.68
64,Chokurdakh,70.63,147.92,53.37,50,76,6.6
65,Mehamn,71.04,27.85,47.55,80,99,7.02
66,Carnarvon,-24.87,113.63,66.2,68,0,14.99
67,Lasem,-6.69,111.45,82.15,62,26,10.04
